,label_value,score,sex,age_cat,race
0,0,1,Male,Greater than 45,Other
1,1,3,Male,25 - 45,African-American
2,1,4,Male,Less than 25,African-American
3,0,8,Male,Less than 25,African-American
4,0,1,Male,25 - 45,Other
5,0,1,Male,25 - 45,Other
6,1,6,Male,25 - 45,Caucasian
7,0,4,Male,25 - 45,Other
8,0,1,Female,25 - 45,Caucasian
9,1,3,Male,Less than 25,Caucasian
10,0,4,Male,25 - 45,Caucasian
11,1,6,Male,Less than 25,African-American
12,0,1,Female,25 - 45,Caucasian
13,0,4,Male,25 - 45,African-American
14,1,1,Female,Greater than 45,Caucasian
15,1,3,Male,25 - 45,African-American
16,0,1,Male,25 - 45,Hispanic
17,0,10,Male,25 - 45,African-American
18,1,5,Male,25 - 45,Caucasian
19,1,3,Male,25 - 45,Caucasian
20,1,6,Male,Greater than 45,African-American
21,1,9,Male,Less than 25,African-American
22,1,2,Male,25 - 45,Caucasian
23,0,4,Female,Less than 25,Caucasian
24,1,4,Male,Less than 25,Hispanic
25,0,1,Male,25 - 45,Caucasian
26,0,3,Male,25 - 45,Other
27,1,3,Male,25 - 45,African-American
28,0,3,Female,25 - 45,Caucasian
29,1,7,Male,25 - 45,African-American
30,1,10,Male,25 - 45,African-American
31,1,9,Male,25 - 45,Caucasian
32,1,8,Male,25 - 45,African-American
33,0,1,Male,Greater than 45,Caucasian
34,1,3,Male,Greater than 45,Other
35,0,8,Male,25 - 45,Caucasian
36,1,5,Female,25 - 45,Caucasian
37,1,2,Male,Less than 25,Caucasian
38,1,9,Male,25 - 45,African-American
39,0,2,Male,25 - 45,Caucasian
40,0,8,Female,Less than 25,African-American
41,0,1,Male,Greater than 45,African-American
42,1,2,Male,25 - 45,Caucasian
43,0,2,Female,Greater than 45,African-American
44,1,7,Male,25 - 45,African-American
45,1,10,Male,25 - 45,Caucasian
46,1,8,Male,25 - 45,African-American
47,0,1,Male,Greater than 45,Caucasian
48,1,3,Male,25 - 45,African-American
49,0,4,Male,25 - 45,African-American
50,1,2,Male,25 - 45,Caucasian
51,0,2,Female,25 - 45,Other
52,1,6,Male,Greater than 45,Caucasian
53,0,1,Female,Greater than 45,Hispanic
54,0,5,Male,25 - 45,African-American
55,1,4,Male,Less than 25,African-American
56,0,7,Male,25 - 45,Hispanic
57,0,1,Male,Greater than 45,African-American
58,0,5,Male,Greater than 45,Caucasian
59,0,3,Male,25 - 45,African-American
60,1,7,Male,Greater than 45,African-American
61,1,10,Male,25 - 45,African-American
62,1,2,Male,25 - 45,Caucasian
63,1,4,Male,Less than 25,African-American
64,1,10,Male,Less than 25,African-American
65,1,9,Male,25 - 45,African-American
66,0,1,Male,Greater than 45,Hispanic
67,1,6,Male,25 - 45,African-American
68,0,1,Male,25 - 45,Other
69,0,1,Female,Greater than 45,African-American
70,1,1,Male,Greater than 45,Hispanic
71,0,4,Male,Less than 25,Hispanic
72,0,4,Male,25 - 45,African-American
73,1,6,Male,25 - 45,African-American
74,1,6,Male,25 - 45,Caucasian
75,0,2,Male,25 - 45,African-American
76,1,3,Male,Less than 25,African-American
77,0,8,Male,Less than 25,Caucasian
78,1,4,Female,25 - 45,African-American
79,1,7,Male,25 - 45,Caucasian
80,0,2,Male,25 - 45,African-American
81,0,2,Male,25 - 45,African-American
82,1,10,Male,25 - 45,African-American
83,1,1,Male,Greater than 45,Other
84,1,10,Male,25 - 45,African-American
85,1,5,Male,Less than 25,Other
86,1,9,Male,Less than 25,African-American
87,1,7,Male,Less than 25,African-American
88,0,2,Female,25 - 45,African-American
89,1,7,Male,25 - 45,African-American
90,1,8,Male,25 - 45,Caucasian
91,1,6,Male,Less than 25,Other
92,1,8,Male,25 - 45,Caucasian
93,0,7,Male,Greater than 45,African-American
94,0,7,Female,Less than 25,Caucasian
95,1,1,Male,25 - 45,Caucasian
96,0,1,Male,Greater than 45,Caucasian
97,0,1,Female,Greater than 45,Caucasian
98,0,1,Female,25 - 45,Hispanic
99,1,4,Male,Less than 25,African-American
100,0,2,Male,Less than 25,African-American
101,0,2,Male,25 - 45,African-American
102,1,1,Female,25 - 45,Caucasian
103,1,6,Male,Less than 25,Caucasian
104,0,4,Male,25 - 45,Caucasian
105,0,5,Male,25 - 45,Caucasian
106,0,4,Female,25 - 45,Caucasian
107,1,9,Male,Greater than 45,African-American
108,0,1,Male,25 - 45,Caucasian
109,1,9,Male,Less than 25,African-American
110,1,4,Male,25 - 45,Caucasian
111,0,5,Male,25 - 45,Caucasian
112,1,5,Male,25 - 45,African-American
113,0,2,Male,25 - 45,African-American
114,1,2,Male,25 - 45,Caucasian
115,1,9,Male,25 - 45,African-American
116,1,4,Male,Less than 25,African-American
117,1,8,Male,25 - 45,African-American
118,0,7,Male,25 - 45,African-American
119,0,2,Female,25 - 45,Other
120,1,10,Male,25 - 45,Caucasian
